,acc_x_left,acc_y_left,acc_z_left,gyr_x_left,gyr_y_left,gyr_z_left,acc_x_right,acc_y_right,acc_z_right,gyr_x_right,gyr_y_right,gyr_z_right,left_phase
8940,0.9475577496,2.3353948576,-3.1489545416,-149.0,113.125,-128.9375,42.6496700224,-22.2915353416,-19.0851530576,188.9375,-21.875,-4.5625,1
8941,1.4165509792,4.4315074552,-2.967100024,-132.5625,102.8125,-129.125,31.9298247744,-4.2975093896,-11.9449704192,325.4375,-18.375,24.8125,1
8942,3.254238736,7.197610380799999,-3.1393832511999995,-110.75,90.9375,-130.25,24.0047963232,6.5276200528,-4.938785846399999,395.125,-14.4375,48.75,1
8943,3.254238736,7.197610380799999,-3.1393832511999995,-81.1875,77.75,-132.4375,24.0047963232,10.5667046016,-0.5264209719999999,395.125,-14.4375,48.75,1
8944,5.6566326264,10.3657075032,-3.9338003544,-44.75,63.125,-139.0,16.969897879199998,10.5667046016,-0.5264209719999999,395.4375,10.5625,58.6875,1
8945,9.035298137599998,13.256237204,-5.2259245584,-44.75,63.125,-139.0,13.4189491408,10.2987084704,1.3591232368,343.5,41.1875,58.5,1
8946,13.3710926888,15.9744836776,-5.886343596,-11.3125,44.0,-151.4375,11.9449704192,7.178467799999999,2.4023938904,259.5625,64.3125,61.375,1
8947,13.3710926888,15.9744836776,-5.886343596,3.875,24.6875,-169.25,12.0885397752,3.8189448696,2.4693929232,259.5625,64.3125,61.375,1
8948,18.9702975728,18.5874459568,-5.675775207199999,-9.5625,11.9375,-185.5625,12.0885397752,3.8189448696,2.4693929232,174.9375,73.5,70.625,1
8949,24.598216328,18.42473402,-5.895914886399999,-9.5625,11.9375,-185.5625,13.2466659136,3.3690942208,-0.1818545175999999,131.8125,65.75,82.75,1
8950,29.4125753992,14.711073344799996,-6.967899411199999,-50.4375,11.375,-196.125,14.423934632799998,4.6707897152,-4.517649068799999,131.4375,50.125,90.375,1
8951,35.2989189952,11.48554848,-7.848458128,-93.125,20.5625,-204.25,16.280764970399996,5.905486176799999,-5.388636495199999,145.9375,34.1875,90.5,1
